fr3_joint1,fr3_joint2,fr3_joint3,fr3_joint4,fr3_joint5,fr3_joint6,fr3_joint7
9.994954455053710607e-01,1.373429318979951574e+00,-1.253759406893856898e+00,-1.988681450711524912e+00,1.715175453618849488e+00,1.399621791415570859e+00,6.178223515408721722e-01
8.876488825358690438e-01,9.735276442505542693e-01,-9.568611180336616950e-01,-1.974784923476925025e+00,1.210048165786566265e+00,1.927574195873591911e+00,6.183110349339621115e-01
3.810676654971701383e-01,6.847760317929288965e-01,-3.645047150818185866e-01,-1.958032888118320436e+00,5.606428777987343404e-01,2.220276736147840602e+00,6.198941823238450777e-01
-3.865702809818465924e-01,7.282577076582149589e-01,4.600747931674672442e-01,-1.919308437732498263e+00,-2.980756340402332949e-01,2.210905401627525801e+00,1.406766303241235860e+00
-7.528132328927087391e-01,9.446784153467064904e-01,9.056532549204401317e-01,-1.935233076239876171e+00,-9.233039039243458035e-01,2.054764483795060936e+00,1.407041600293329697e+00
-1.063334809531869762e+00,1.204958461205736020e+00,1.082015275479064620e+00,-1.932746624706755956e+00,-8.499260781493144234e-01,2.085867775526082823e+00,1.407030364895533125e+00
-1.061452852403166558e+00,1.204325133366518363e+00,1.082693009717389909e+00,-1.932949936592831319e+00,-8.503876766456305303e-01,2.085570652359338251e+00,3.905295062228414937e-01
-1.289018531078248486e+00,1.499296159894384362e+00,1.176252932725221800e+00,-1.935002822651007204e+00,-8.492105460940113648e-01,2.088250058327798975e+00,3.905367470299406230e-01
-1.288798042272400801e+00,1.499037901933395922e+00,1.176884193624227581e+00,-1.935473986788976086e+00,-8.487671927454374377e-01,2.087293481455291477e+00,-2.258679492381634457e-01
-9.571446115161803547e-01,1.438216209507335641e+00,1.189322584617567458e+00,-1.612948718652622349e+00,-8.520105159147797202e-01,1.628333992886439985e+00,-2.258220777402593915e-01
-1.339658959878301303e+00,1.433325076223090688e+00,1.148661558228608603e+00,-2.078892398903125827e+00,-1.021113932118603573e+00,2.281825469490721847e+00,-2.250258728731265589e-01
-4.305857947580186799e-03,5.641197365258502350e-01,7.581139098506033125e-02,-2.141858599858304402e+00,7.281060918892318795e-03,2.574821033975619677e+00,7.761525265815710783e-01
8.081930495738023357e-01,6.963712375120080234e-01,-6.379536724337941944e-01,-2.161777731167137784e+00,6.255760561507366369e-01,2.573405376555797819e+00,7.741177672180823421e-01
3.717223376488100750e-01,8.417123456995613262e-01,-3.826046338714415018e-01,-1.683240057840546422e+00,4.246924373188263324e-01,1.878103977635090960e+00,7.749836683573358975e-01
9.541277666104337474e-01,1.090601596829010367e+00,-9.437960253341846073e-01,-1.759646485713984188e+00,7.410247682261487112e-01,1.869083708557048196e+00,7.739061342032431678e-01
1.198104432756952997e+00,1.088769736149437284e+00,-9.999637945250365867e-01,-1.996430867957512900e+00,7.402094073416060072e-01,2.231091724679940658e+00,7.739044307253436505e-01
1.336822047871132568e+00,1.314832717513241933e+00,-1.160540980082472196e+00,-1.994821013670511789e+00,1.041369379124779782e+00,2.087011943692756333e+00,7.738997351977434658e-01
1.533626142085299904e+00,1.514414732328516866e+00,-1.212099960352815975e+00,-2.094874439774761843e+00,1.235387720880086970e+00,2.171111859682966827e+00,7.739049207955069898e-01
1.082173154324924891e+00,1.509274227955067493e+00,-1.315551428109978493e+00,-1.680587383998747075e+00,1.237091942877326822e+00,1.447206562364560911e+00,7.739038207769576294e-01
9.879918443678649131e-01,1.216879920164871898e+00,-9.557492030789850324e-01,-1.603011006668266347e+00,5.525416743372753015e-01,1.739883466540158130e+00,7.747479386941107382e-01
7.547082520776374759e-01,9.225036863299270751e-01,-5.635761596079849056e-01,-1.723578988841042881e+00,2.323575637893389792e-02,1.980670522242791387e+00,7.742213693635995320e-01
8.963078849427010830e-01,6.906582742046161183e-01,-6.486584921753441035e-01,-2.408288350748116535e+00,1.899277189632373603e-02,3.161236400142408254e+00,7.742340967603231761e-01
-8.123949658633459192e-01,7.270396822951507021e-01,7.168861693398821400e-01,-2.366889462167379499e+00,2.038950396910737053e-02,3.044934132494461210e+00,7.742541305241342764e-01
-7.784509181849476045e-01,7.203186947504941484e-01,6.856419324689968509e-01,-2.261074501307703599e+00,-9.797678933585918237e-01,2.813991972168198963e+00,7.769338627026111110e-01
