fr3_joint1,fr3_joint2,fr3_joint3,fr3_joint4,fr3_joint5,fr3_joint6,fr3_joint7
-1.382148819060474154e-01,5.806100791463899569e-01,-3.625712313462884917e-01,-2.218712742598712762e+00,2.506185694535387753e-01,2.707984134151035338e+00,1.170295257501429598e+00
-1.325863993890262771e-01,6.137345799389026801e-01,-2.948947226917271180e-01,-2.481981862499591518e+00,2.497305275234862620e-01,3.453353561708472519e+00,1.170319022831777245e+00
-3.422502843210190049e-01,7.555728783535181625e-01,-3.105268347931444128e-01,-1.807586982710505552e+00,4.333055079275987542e-01,2.030775554707830111e+00,1.170299039640455785e+00
4.264387888534552640e-01,1.193061109926276897e+00,-1.143517364032361039e+00,-1.945712247493609270e+00,1.278326994982782905e+00,1.807265677818768346e+00,6.930271814426576249e-01
7.541141618664329860e-01,1.195254595101208128e+00,-1.101921905010271985e+00,-2.229939352805045516e+00,1.521052657496100746e+00,2.389431088718167118e+00,6.931171488315341911e-01
9.932106030887837278e-01,1.474445563121945968e+00,-1.064301457584342581e+00,-2.254947918834141696e+00,1.510686148903614745e+00,2.606414078156373382e+00,6.935927094233975687e-01
9.307407088741393997e-01,1.469184269575922075e+00,-1.132551517352486936e+00,-2.160984087537390685e+00,1.168684881501923956e+00,2.394606695152204701e+00,6.935627532563376496e-01
4.357056518634938036e-01,1.476377757299358828e+00,-1.248774015170506013e+00,-1.604247469677386073e+00,1.016764310016105233e+00,1.514583393640423381e+00,6.935448978974716461e-01
2.318038068555974274e-01,1.477593890479053762e+00,-1.286679797777209977e+00,-1.801476524747486652e+00,1.671218128852551832e+00,1.172739715279623951e+00,6.933588965935664206e-01
1.496488941777052717e-01,9.079800357206792016e-01,-8.563828366315816565e-01,-1.942712242781921672e+00,1.059083340044673305e+00,1.975268814037509868e+00,6.941900534840571568e-01
-1.178418639377156518e+00,8.101661036751306444e-01,4.706524528058551038e-01,-1.856846375256203219e+00,1.392761342159939963e-01,2.136867772926084541e+00,6.967058105622454534e-01
-1.254885996535813453e+00,8.605301614633139584e-01,7.412711053147172935e-01,-1.886333359582403002e+00,-6.836664587696092976e-01,2.074041484504014043e+00,7.042373773095905731e-01
-7.034807128901097162e-01,8.632184882281256355e-01,3.550239438769472455e-01,-1.669503769725789732e+00,-6.886632503072538380e-01,1.779277028418845052e+00,7.038723161026354536e-01
-1.211341257421884254e+00,8.681367450617263337e-01,7.638232176655428418e-01,-1.891038633462574392e+00,-8.686307014970756635e-01,2.011258528170576820e+00,7.037773924909241918e-01
-1.793760298748905635e+00,1.341324240074106333e+00,1.180581991571779232e+00,-1.947235602257783693e+00,-1.043282051272740540e+00,2.006629683144694365e+00,7.037964241037758528e-01
